#  lambda[A]      flux[erg cm^-2 s^-1 A^-1]
 3970.9578     2.849022e-01
 3972.7327     1.776270e-01
 3974.5076     1.987086e-02
 3976.2826     1.862992e-01
 3978.0575     1.628164e-01
 3979.8324     3.798198e-01
 3981.6073     2.698255e-01
 3983.3822     2.657577e-01
 3985.1571     4.102315e-01
 3986.9321     3.628423e-01
 3988.7070     2.854139e-01
 3990.4819     4.188060e-01
 3992.2568     4.007072e-01
 3994.0317     2.746695e-01
 3995.8067     2.353463e-01
 3997.5816     2.857976e-01
 3999.3565     3.853094e-01
 4001.1314     5.991122e-01
 4002.9063     4.776678e-01
 4004.6812     5.932240e-01
 4006.4562     6.003486e-01
 4008.2311     5.693546e-01
 4010.0060     6.133820e-01
 4011.7809     4.925402e-01
 4013.5558     4.436188e-01
 4015.3307     4.392968e-01
 4017.1057     3.138442e-01
 4018.8806     1.881091e-01
 4020.6555     4.709126e-01
 4022.4304     6.561980e-01
 4024.2053     5.401590e-01
 4025.9803     4.701920e-01
 4027.7552     4.070434e-01
 4029.5301     3.779432e-01
 4031.3050     2.291444e-01
 4033.0799     3.323513e-01
 4034.8548     3.565017e-01
 4036.6298     4.138128e-01
 4038.4047     5.022140e-01
 4040.1796     4.805820e-01
 4041.9545     5.114031e-01
 4043.7294     2.938492e-01
 4045.5043     4.540207e-01
 4047.2793     4.447379e-01
 4049.0542     2.455704e-01
 4050.8291     5.130512e-01
 4052.6040     5.351575e-01
 4054.3789     4.613939e-01
 4056.1539     4.606687e-01
 4057.9288     5.521020e-01
 4059.7037     5.707959e-01
 4061.4786     5.285885e-01
 4063.2535     4.116984e-01
 4065.0284     3.564386e-01
 4066.8034     4.874530e-01
 4068.5783     3.949849e-01
 4070.3532     3.581253e-01
 4072.1281     5.466482e-01
 4073.9030     5.843230e-01
 4075.6779     5.851824e-01
 4077.4529     3.810325e-01
 4079.2278     4.521969e-01
 4081.0027     7.084214e-01
 4082.7776     6.209853e-01
 4084.5525     4.143254e-01
 4086.3275     4.264536e-01
 4088.1024     4.294302e-01
 4089.8773     6.068848e-01
 4091.6522     5.525710e-01
 4093.4271     4.667674e-01
 4095.2020     5.197265e-01
 4096.9770     5.682725e-01
 4098.7519     3.522728e-01
 4100.5268     2.410176e-01
 4102.3017     3.929788e-01
 4104.0766     3.832920e-01
 4105.8516     4.751068e-01
 4107.6265     5.305058e-01
 4109.4014     3.138105e-01
 4111.1763     2.967849e-01
 4112.9512     3.737193e-01
 4114.7261     3.682916e-01
 4116.5011     4.927400e-01
 4118.2760     5.108601e-01
 4120.0509     3.854455e-01
 4121.8258     3.461466e-01
 4123.6007     4.201837e-01
 4125.3756     3.800272e-01
 4127.1506     1.056438e-01
 4128.9255     1.586278e-02
 4130.7004     5.165821e-01
 4132.4753     4.823762e-01
 4134.2502     4.525302e-01
 4136.0252     5.798852e-01
 4137.8001     5.561452e-01
 4139.5750     4.829473e-01
 4141.3499     5.701470e-01
 4143.1248     4.979128e-01
 4144.8997     4.820218e-01
 4146.6747     4.501112e-01
 4148.4496     6.132632e-01
 4150.2245     6.772522e-01
 4151.9994     5.975683e-01
 4153.7743     5.696337e-01
 4155.5492     6.106880e-01
 4157.3242     6.015794e-01
 4159.0991     5.334361e-01
 4160.8740     4.301428e-01
 4162.6489     5.419698e-01
 4164.4238     5.521472e-01
 4166.1988     6.367694e-01
 4167.9737     6.399394e-01
 4169.7486     4.754670e-01
 4171.5235     4.073730e-01
 4173.2984     4.342124e-01
 4175.0733     5.182946e-01
 4176.8483     4.925655e-01
 4178.6232     5.982172e-01
 4180.3981     5.895637e-01
 4182.1730     4.919685e-01
 4183.9479     5.484737e-01
 4185.7228     5.078827e-01
 4187.4978     4.310470e-01
 4189.2727     5.679117e-01
 4191.0476     5.942065e-01
 4192.8225     5.400977e-01
 4194.5974     5.482751e-01
 4196.3724     5.914914e-01
 4198.1473     4.918435e-01
 4199.9222     5.127386e-01
 4201.6971     5.363658e-01
 4203.4720     5.257789e-01
 4205.2469     4.855786e-01
 4207.0219     6.386663e-01
 4208.7968     6.568845e-01
 4210.5717     5.527309e-01
 4212.3466     5.866884e-01
 4214.1215     6.681752e-01
 4215.8964     5.601450e-01
 4217.6714     4.422540e-01
 4219.4463     5.213612e-01
 4221.2212     6.080646e-01
 4222.9961     5.355210e-01
 4224.7710     5.730150e-01
 4226.5460     5.297095e-01
 4228.3209     4.525469e-01
 4230.0958     5.206053e-01
 4231.8707     6.070368e-01
 4233.6456     5.472862e-01
 4235.4205     5.393733e-01
 4237.1955     6.020236e-01
 4238.9704     5.484595e-01
 4240.7453     5.915836e-01
 4242.5202     5.975254e-01
 4244.2951     6.707262e-01
 4246.0701     6.573040e-01
 4247.8450     5.037487e-01
 4249.6199     5.780455e-01
 4251.3948     5.279042e-01
 4253.1697     5.461556e-01
 4254.9446     4.479003e-01
 4256.7196     4.949731e-01
 4258.4945     5.532607e-01
 4260.2694     5.429233e-01
 4262.0443     5.698655e-01
 4263.8192     5.941504e-01
 4265.5941     5.104577e-01
 4267.3691     4.377719e-01
 4269.1440     6.334623e-01
 4270.9189     7.232463e-01
 4272.6938     6.697494e-01
 4274.4687     6.179252e-01
 4276.2437     6.050593e-01
 4278.0186     5.865091e-01
 4279.7935     6.184247e-01
 4281.5684     5.957299e-01
 4283.3433     5.523738e-01
 4285.1182     6.161552e-01
 4286.8932     6.188659e-01
 4288.6681     5.547407e-01
 4290.4430     6.739641e-01
 4292.2179     7.151644e-01
 4293.9928     6.617677e-01
 4295.7677     5.569179e-01
 4297.5427     6.237082e-01
 4299.3176     5.861309e-01
 4301.0925     5.601968e-01
 4302.8674     6.702225e-01
 4304.6423     6.171712e-01
 4306.4173     4.908001e-01
 4308.1922     4.510030e-01
 4309.9671     4.972183e-01
 4311.7420     5.534707e-01
 4313.5169     5.688061e-01
 4315.2918     6.448321e-01
 4317.0668     6.303768e-01
 4318.8417     6.292692e-01
 4320.6166     5.321569e-01
 4322.3915     5.021964e-01
 4324.1664     5.817099e-01
 4325.9413     5.026968e-01
 4327.7163     5.612020e-01
 4329.4912     5.682622e-01
 4331.2661     5.250316e-01
 4333.0410     5.637778e-01
 4334.8159     6.389127e-01
 4336.5909     5.645370e-01
 4338.3658     5.785890e-01
 4340.1407     8.013688e-01
 4341.9156     8.686224e-01
 4343.6905     8.507318e-01
 4345.4654     8.423635e-01
 4347.2404     7.800612e-01
 4349.0153     6.973261e-01
 4350.7902     6.089149e-01
 4352.5651     6.329594e-01
 4354.3400     7.119316e-01
 4356.1149     5.934604e-01
 4357.8899     4.770628e-01
 4359.6648     6.437169e-01
 4361.4397     7.835823e-01
 4363.2146     6.710328e-01
 4364.9895     6.542833e-01
 4366.7645     5.226324e-01
 4368.5394     7.138857e-01
 4370.3143     7.508371e-01
 4372.0892     5.715011e-01
 4373.8641     5.679880e-01
 4375.6390     6.858784e-01
 4377.4140     6.533647e-01
 4379.1889     6.532834e-01
 4380.9638     7.001953e-01
 4382.7387     7.051312e-01
 4384.5136     6.205910e-01
 4386.2886     5.808683e-01
 4388.0635     6.858923e-01
 4389.8384     6.256631e-01
 4391.6133     6.314958e-01
 4393.3882     6.683195e-01
 4395.1631     6.228387e-01
 4396.9381     6.052348e-01
 4398.7130     7.304736e-01
 4400.4879     6.587640e-01
 4402.2628     6.303620e-01
 4404.0377     6.811537e-01
 4405.8126     6.499790e-01
 4407.5876     6.098203e-01
 4409.3625     6.104114e-01
 4411.1374     6.951814e-01
 4412.9123     5.994684e-01
 4414.6872     5.770502e-01
 4416.4622     6.723667e-01
 4418.2371     6.903782e-01
 4420.0120     6.226299e-01
 4421.7869     7.104107e-01
 4423.5618     6.698654e-01
 4425.3367     6.216350e-01
 4427.1117     7.081860e-01
 4428.8866     6.919485e-01
 4430.6615     6.405885e-01
 4432.4364     7.194239e-01
 4434.2113     6.949553e-01
 4435.9862     7.103745e-01
 4437.7612     6.954805e-01
 4439.5361     6.042013e-01
 4441.3110     6.172759e-01
 4443.0859     7.057866e-01
 4444.8608     7.707282e-01
 4446.6358     6.786925e-01
 4448.4107     6.804420e-01
 4450.1856     7.049139e-01
 4451.9605     7.105789e-01
 4453.7354     7.173988e-01
 4455.5103     7.241685e-01
 4457.2853     7.241326e-01
 4459.0602     7.242218e-01
 4460.8351     7.399889e-01
 4462.6100     6.741246e-01
 4464.3849     7.463529e-01
 4466.1598     8.408419e-01
 4467.9348     7.421685e-01
 4469.7097     6.635491e-01
 4471.4846     7.454633e-01
 4473.2595     8.038470e-01
 4475.0344     7.906298e-01
 4476.8094     6.879622e-01
 4478.5843     6.897226e-01
 4480.3592     7.306290e-01
 4482.1341     6.690644e-01
