#  lambda[A]      flux[erg cm^-2 s^-1 A^-1]
 5238.2491     9.142034e-01
 5240.0240     8.723884e-01
 5241.7989     8.304645e-01
 5243.5738     8.749568e-01
 5245.3487     9.872350e-01
 5247.1236     9.304152e-01
 5248.8986     9.030919e-01
 5250.6735     9.449591e-01
 5252.4484     9.516682e-01
 5254.2233     9.194205e-01
 5255.9982     8.864784e-01
 5257.7732     8.956982e-01
 5259.5481     9.288045e-01
 5261.3230     9.171808e-01
 5263.0979     9.246567e-01
 5264.8728     9.332334e-01
 5266.6477     8.573540e-01
 5268.4227     8.652095e-01
 5270.1976     8.630213e-01
 5271.9725     8.660837e-01
 5273.7474     8.569012e-01
 5275.5223     8.478398e-01
 5277.2972     8.799083e-01
 5279.0722     9.220291e-01
 5280.8471     9.414296e-01
 5282.6220     9.480117e-01
 5284.3969     8.997308e-01
 5286.1718     9.325032e-01
 5287.9468     9.707196e-01
 5289.7217     8.834515e-01
 5291.4966     9.053637e-01
 5293.2715     9.498425e-01
 5295.0464     9.463511e-01
 5296.8213     9.412811e-01
 5298.5963     9.487101e-01
 5300.3712     9.160960e-01
 5302.1461     9.376972e-01
 5303.9210     9.557955e-01
 5305.6959     9.436689e-01
 5307.4708     9.374973e-01
 5309.2458     9.999127e-01
 5311.0207     9.994286e-01
 5312.7956     9.520878e-01
 5314.5705     9.658708e-01
 5316.3454     1.000160e+00
 5318.1204     1.033022e+00
 5319.8953     9.818014e-01
 5321.6702     9.423081e-01
 5323.4451     9.287840e-01
 5325.2200     9.092633e-01
 5326.9949     8.968714e-01
 5328.7699     9.322369e-01
 5330.5448     9.310051e-01
 5332.3197     9.003478e-01
 5334.0946     9.007161e-01
 5335.8695     9.067141e-01
 5337.6444     8.909919e-01
 5339.4194     9.491308e-01
 5341.1943     9.887341e-01
 5342.9692     9.842699e-01
 5344.7441     9.115032e-01
 5346.5190     9.520298e-01
 5348.2940     9.143381e-01
 5350.0689     9.420936e-01
 5351.8438     9.820724e-01
 5353.6187     9.194951e-01
 5355.3936     9.477710e-01
 5357.1685     9.547610e-01
 5358.9435     1.031551e+00
 5360.7184     9.891968e-01
 5362.4933     9.528010e-01
 5364.2682     1.018664e+00
 5366.0431     1.067907e+00
 5367.8181     9.115008e-01
 5369.5930     8.832313e-01
 5371.3679     9.661145e-01
 5373.1428     9.713831e-01
 5374.9177     9.832656e-01
 5376.6926     8.625244e-01
 5378.4676     9.188700e-01
 5380.2425     9.853199e-01
 5382.0174     9.377275e-01
 5383.7923     9.375910e-01
 5385.5672     9.857978e-01
 5387.3421     1.001784e+00
 5389.1171     9.531955e-01
 5390.8920     9.990967e-01
 5392.6669     9.180496e-01
 5394.4418     9.905121e-01
 5396.2167     9.964209e-01
 5397.9917     9.304339e-01
 5399.7666     9.292505e-01
 5401.5415     9.364986e-01
 5403.3164     9.419681e-01
 5405.0913     8.980185e-01
 5406.8662     9.267017e-01
 5408.6412     9.182873e-01
 5410.4161     9.147767e-01
 5412.1910     9.105909e-01
 5413.9659     9.331741e-01
 5415.7408     9.836273e-01
 5417.5157     9.486988e-01
 5419.2907     9.433045e-01
 5421.0656     9.189034e-01
 5422.8405     9.861457e-01
 5424.6154     9.462711e-01
 5426.3903     9.635766e-01
 5428.1653     9.890583e-01
 5429.9402     1.013191e+00
 5431.7151     9.923526e-01
 5433.4900     8.935906e-01
 5435.2649     9.475971e-01
 5437.0398     9.829929e-01
 5438.8148     9.264993e-01
 5440.5897     9.347901e-01
 5442.3646     1.001282e+00
 5444.1395     1.051878e+00
 5445.9144     1.010866e+00
 5447.6893     9.382069e-01
 5449.4643     1.009994e+00
 5451.2392     1.037960e+00
 5453.0141     9.989930e-01
 5454.7890     9.501377e-01
 5456.5639     9.288667e-01
 5458.3389     9.103471e-01
 5460.1138     1.035072e+00
 5461.8887     1.025208e+00
 5463.6636     1.002697e+00
 5465.4385     9.974297e-01
 5467.2134     1.049788e+00
 5468.9884     1.038987e+00
 5470.7633     9.140484e-01
 5472.5382     8.935532e-01
 5474.3131     9.630692e-01
 5476.0880     1.023960e+00
 5477.8629     1.034340e+00
 5479.6379     9.592077e-01
 5481.4128     9.282135e-01
 5483.1877     9.798179e-01
 5484.9626     9.447153e-01
 5486.7375     9.822561e-01
 5488.5125     9.633528e-01
 5490.2874     9.658862e-01
 5492.0623     9.951144e-01
 5493.8372     1.044602e+00
 5495.6121     9.880937e-01
 5497.3870     9.602210e-01
 5499.1620     9.573234e-01
 5500.9369     9.650900e-01
 5502.7118     1.034749e+00
 5504.4867     1.002846e+00
 5506.2616     1.030143e+00
 5508.0366     1.024094e+00
 5509.8115     1.005946e+00
 5511.5864     9.887176e-01
 5513.3613     1.043666e+00
 5515.1362     1.040393e+00
 5516.9111     1.009858e+00
 5518.6861     9.596050e-01
 5520.4610     9.916966e-01
 5522.2359     9.668583e-01
 5524.0108     9.983505e-01
 5525.7857     1.068084e+00
 5527.5606     1.052186e+00
 5529.3356     9.879695e-01
 5531.1105     9.647202e-01
 5532.8854     1.024764e+00
 5534.6603     1.076260e+00
 5536.4352     1.011616e+00
 5538.2102     9.995213e-01
 5539.9851     9.815693e-01
 5541.7600     9.782759e-01
 5543.5349     9.874167e-01
 5545.3098     9.721696e-01
 5547.0847     1.022354e+00
 5548.8597     1.048622e+00
 5550.6346     1.011904e+00
 5552.4095     1.014801e+00
 5554.1844     1.062389e+00
 5555.9593     1.027183e+00
 5557.7342     1.065914e+00
 5559.5092     1.073055e+00
 5561.2841     9.970703e-01
 5563.0590     1.042247e+00
 5564.8339     1.012253e+00
 5566.6088     1.029909e+00
 5568.3838     1.067318e+00
 5570.1587     1.017903e+00
 5571.9336     1.040023e+00
 5573.7085     1.043261e+00
 5575.4834     1.043437e+00
 5577.2583     1.044181e+00
 5579.0333     1.044619e+00
 5580.8082     1.044973e+00
 5582.5831     1.070964e+00
 5584.3580     1.102878e+00
 5586.1329     1.035011e+00
 5587.9078     1.042974e+00
 5589.6828     1.029313e+00
 5591.4577     1.060093e+00
 5593.2326     1.103668e+00
 5595.0075     1.090685e+00
 5596.7824     1.046116e+00
 5598.5574     1.034293e+00
 5600.3323     1.058087e+00
 5602.1072     1.047371e+00
 5603.8821     1.039134e+00
 5605.6570     1.053253e+00
 5607.4319     1.054580e+00
 5609.2069     1.059571e+00
 5610.9818     1.043236e+00
 5612.7567     1.009003e+00
 5614.5316     1.048591e+00
 5616.3065     1.092706e+00
 5618.0814     1.070629e+00
 5619.8564     1.079697e+00
 5621.6313     1.030905e+00
 5623.4062     9.945398e-01
 5625.1811     1.066699e+00
 5626.9560     9.949597e-01
 5628.7310     9.755285e-01
 5630.5059     1.076528e+00
 5632.2808     1.060934e+00
 5634.0557     1.040836e+00
 5635.8306     1.018991e+00
 5637.6055     1.035431e+00
 5639.3805     1.020465e+00
 5641.1554     1.032261e+00
 5642.9303     1.052921e+00
 5644.7052     1.074620e+00
 5646.4801     1.040700e+00
 5648.2551     1.065746e+00
 5650.0300     1.031911e+00
 5651.8049     9.823903e-01
 5653.5798     1.028563e+00
 5655.3547     1.041157e+00
 5657.1296     1.041560e+00
 5658.9046     9.955353e-01
 5660.6795     9.897469e-01
 5662.4544     1.056935e+00
 5664.2293     9.302323e-01
 5666.0042     1.006802e+00
 5667.7791     1.090127e+00
 5669.5541     1.030725e+00
 5671.3290     1.056155e+00
 5673.1039     1.047666e+00
 5674.8788     9.989016e-01
 5676.6537     1.006627e+00
 5678.4287     1.097903e+00
 5680.2036     1.150099e+00
 5681.9785     1.127809e+00
 5683.7534     1.049005e+00
 5685.5283     1.067553e+00
 5687.3032     1.081175e+00
 5689.0782     1.082239e+00
 5690.8531     1.018142e+00
 5692.6280     1.033763e+00
 5694.4029     1.109361e+00
 5696.1778     1.017530e+00
 5697.9527     1.049853e+00
 5699.7277     1.077567e+00
 5701.5026     1.038811e+00
 5703.2775     1.056530e+00
 5705.0524     1.029744e+00
 5706.8273     1.081446e+00
 5708.6023     1.031632e+00
 5710.3772     1.067971e+00
 5712.1521     1.050875e+00
 5713.9270     9.807073e-01
 5715.7019     9.840830e-01
 5717.4768     9.916229e-01
 5719.2518     1.045409e+00
 5721.0267     1.143586e+00
 5722.8016     1.091159e+00
 5724.5765     1.098571e+00
 5726.3514     1.120506e+00
 5728.1263     1.058643e+00
 5729.9013     1.074193e+00
 5731.6762     1.069180e+00
 5733.4511     1.093284e+00
 5735.2260     1.165530e+00
 5737.0009     1.131159e+00
 5738.7759     1.096828e+00
 5740.5508     1.090685e+00
 5742.3257     1.127002e+00
 5744.1006     1.081737e+00
 5745.8755     1.039906e+00
 5747.6504     1.039744e+00
 5749.4254     1.047752e+00
 5751.2003     1.124891e+00
 5752.9752     1.104371e+00
 5754.7501     1.034615e+00
 5756.5250     1.095570e+00
 5758.2999     1.066198e+00
 5760.0749     1.105331e+00
 5761.8498     1.084817e+00
 5763.6247     1.034104e+00
 5765.3996     1.096559e+00
 5767.1745     1.162686e+00
 5768.9495     1.186141e+00
 5770.7244     1.100935e+00
 5772.4993     1.023767e+00
 5774.2742     1.139368e+00
 5776.0491     1.130952e+00
 5777.8240     1.017910e+00
 5779.5990     1.017810e+00
 5781.3739     1.089435e+00
 5783.1488     1.098658e+00
 5784.9237     1.110924e+00
 5786.6986     1.078465e+00
 5788.4736     1.057495e+00
 5790.2485     1.038160e+00
 5792.0234     1.091623e+00
 5793.7983     1.008001e+00
 5795.5732     1.136729e+00
 5797.3481     1.100602e+00
 5799.1231     1.075365e+00
 5800.8980     1.048669e+00
 5802.6729     1.080032e+00
 5804.4478     1.066533e+00
 5806.2227     1.144935e+00
 5807.9976     1.115388e+00
 5809.7726     1.096872e+00
 5811.5475     1.106914e+00
 5813.3224     1.054786e+00
 5815.0973     1.140883e+00
 5816.8722     1.163430e+00
 5818.6472     1.114875e+00
 5820.4221     1.068581e+00
 5822.1970     1.102965e+00
 5823.9719     1.140767e+00
 5825.7468     1.170720e+00
 5827.5217     1.093265e+00
 5829.2967     1.086463e+00
 5831.0716     1.203080e+00
 5832.8465     1.144295e+00
 5834.6214     1.063946e+00
 5836.3963     1.097905e+00
 5838.1712     1.113590e+00
 5839.9462     1.141143e+00
 5841.7211     1.150981e+00
 5843.4960     1.172938e+00
 5845.2709     1.021199e+00
 5847.0458     1.006602e+00
 5848.8208     1.110517e+00
 5850.5957     1.037827e+00
 5852.3706     9.846584e-01
 5854.1455     1.074893e+00
 5855.9204     1.127760e+00
 5857.6953     1.109996e+00
 5859.4703     1.020417e+00
 5861.2452     1.035590e+00
 5863.0201     1.069055e+00
 5864.7950     1.050771e+00
 5866.5699     1.152191e+00
 5868.3448     1.064644e+00
 5870.1198     1.087961e+00
 5871.8947     1.018857e+00
 5873.6696     1.074277e+00
 5875.4445     1.172145e+00
 5877.2194     1.301932e+00
 5878.9944     1.322465e+00
 5880.7693     1.311650e+00
 5882.5442     1.196250e+00
 5884.3191     1.208331e+00
 5886.0940     1.165170e+00
 5887.8689     1.048838e+00
 5889.6439     8.177030e-01
 5891.4188     6.879331e-01
 5893.1937     6.504070e-01
 5894.9686     5.250251e-01
 5896.7435     6.140495e-01
 5898.5184     6.332288e-01
 5900.2934     7.084565e-01
 5902.0683     9.323560e-01
 5903.8432     1.020675e+00
 5905.6181     9.743088e-01
 5907.3930     1.031525e+00
 5909.1680     1.116625e+00
 5910.9429     1.185514e+00
 5912.7178     1.073531e+00
 5914.4927     9.843875e-01
 5916.2676     1.141532e+00
 5918.0425     1.151779e+00
 5919.8175     1.131485e+00
 5921.5924     1.024289e+00
 5923.3673     1.005601e+00
 5925.1422     1.013055e+00
 5926.9171     1.032664e+00
 5928.6921     1.151444e+00
 5930.4670     1.084804e+00
 5932.2419     1.119985e+00
 5934.0168     1.181375e+00
 5935.7917     1.110612e+00
 5937.5666     9.619101e-01
 5939.3416     1.144342e+00
 5941.1165     1.180165e+00
 5942.8914     1.123758e+00
 5944.6663     1.124419e+00
 5946.4412     9.660598e-01
 5948.2161     1.060598e+00
 5949.9911     1.177993e+00
 5951.7660     1.236287e+00
 5953.5409     1.137526e+00
 5955.3158     1.027708e+00
 5957.0907     1.128014e+00
 5958.8657     1.212006e+00
 5960.6406     1.116829e+00
 5962.4155     1.100482e+00
 5964.1904     1.165025e+00
 5965.9653     1.071626e+00
 5967.7402     1.017864e+00
 5969.5152     1.173422e+00
 5971.2901     1.183456e+00
 5973.0650     1.077259e+00
 5974.8399     1.075443e+00
 5976.6148     1.129985e+00
 5978.3897     1.121482e+00
 5980.1647     1.026522e+00
 5981.9396     1.093974e+00
 5983.7145     1.109111e+00
 5985.4894     1.109396e+00
 5987.2643     1.103701e+00
 5989.0393     1.118923e+00
 5990.8142     1.152915e+00
 5992.5891     1.169314e+00
 5994.3640     1.126455e+00
 5996.1389     1.157315e+00
 5997.9138     1.068352e+00
 5999.6888     1.105857e+00
 6001.4637     1.148491e+00
 6003.2386     1.017953e+00
 6005.0135     1.061963e+00
 6006.7884     1.099876e+00
 6008.5633     1.086650e+00
 6010.3383     1.061959e+00
 6012.1132     1.084345e+00
 6013.8881     1.123826e+00
 6015.6630     1.110127e+00
 6017.4379     1.038694e+00
 6019.2129     1.099954e+00
 6020.9878     1.093603e+00
 6022.7627     1.019596e+00
 6024.5376     1.118641e+00
 6026.3125     1.073429e+00
 6028.0874     1.013321e+00
 6029.8624     1.063224e+00
 6031.6373     1.108784e+00
 6033.4122     1.065957e+00
 6035.1871     1.018228e+00
 6036.9620     1.083803e+00
 6038.7369     1.103335e+00
 6040.5119     1.078820e+00
 6042.2868     1.094333e+00
 6044.0617     1.070793e+00
 6045.8366     1.114058e+00
 6047.6115     1.165852e+00
 6049.3865     1.168581e+00
 6051.1614     1.110800e+00
 6052.9363     1.046602e+00
 6054.7112     1.121673e+00
 6056.4861     1.120556e+00
 6058.2610     1.172177e+00
 6060.0360     1.153614e+00
 6061.8109     1.068026e+00
 6063.5858     1.088042e+00
 6065.3607     1.067126e+00
 6067.1356     1.019278e+00
 6068.9106     1.133635e+00
 6070.6855     1.093750e+00
 6072.4604     1.059218e+00
 6074.2353     1.157719e+00
 6076.0102     1.144832e+00
 6077.7851     1.146619e+00
 6079.5601     1.162038e+00
 6081.3350     1.159753e+00
 6083.1099     1.105916e+00
 6084.8848     1.109127e+00
 6086.6597     1.085684e+00
 6088.4346     1.101338e+00
 6090.2096     1.136900e+00
 6091.9845     1.087952e+00
 6093.7594     1.116156e+00
 6095.5343     1.028104e+00
 6097.3092     1.006477e+00
 6099.0842     1.056075e+00
 6100.8591     1.115444e+00
 6102.6340     1.120296e+00
 6104.4089     1.119394e+00
 6106.1838     1.112151e+00
 6107.9587     1.101200e+00
 6109.7337     1.170589e+00
 6111.5086     1.061645e+00
 6113.2835     1.049919e+00
 6115.0584     1.137928e+00
 6116.8333     1.074682e+00
 6118.6082     1.057226e+00
 6120.3832     9.871273e-01
 6122.1581     1.008125e+00
 6123.9330     1.071088e+00
 6125.7079     1.122032e+00
 6127.4828     1.035876e+00
 6129.2578     1.098515e+00
 6131.0327     1.155704e+00
 6132.8076     1.044024e+00
 6134.5825     1.097943e+00
 6136.3574     1.025084e+00
 6138.1323     1.009288e+00
 6139.9073     1.061375e+00
 6141.6822     1.133393e+00
 6143.4571     1.068798e+00
 6145.2320     1.099655e+00
 6147.0069     1.119822e+00
 6148.7818     1.042767e+00
 6150.5568     1.037240e+00
 6152.3317     1.091079e+00
 6154.1066     1.099211e+00
 6155.8815     1.020224e+00
 6157.6564     1.075810e+00
 6159.4314     1.115789e+00
 6161.2063     1.080620e+00
 6162.9812     1.081779e+00
 6164.7561     1.065434e+00
 6166.5310     1.004970e+00
 6168.3059     1.021599e+00
 6170.0809     1.035386e+00
 6171.8558     1.041425e+00
 6173.6307     1.039862e+00
 6175.4056     1.068225e+00
 6177.1805     1.070728e+00
 6178.9554     1.003740e+00
 6180.7304     9.887683e-01
 6182.5053     9.834707e-01
 6184.2802     9.082229e-01
 6186.0551     9.309594e-01
 6187.8300     9.746205e-01
 6189.6050     1.093828e+00
 6191.3799     1.105945e+00
 6193.1548     1.058066e+00
 6194.9297     1.047585e+00
 6196.7046     1.059200e+00
 6198.4795     1.068871e+00
 6200.2545     1.039931e+00
 6202.0294     1.023990e+00
 6203.8043     1.103301e+00
 6205.5792     1.074350e+00
 6207.3541     1.062243e+00
 6209.1291     9.889466e-01
 6210.9040     1.044947e+00
 6212.6789     1.108392e+00
 6214.4538     1.096187e+00
 6216.2287     1.054415e+00
 6218.0036     1.066768e+00
 6219.7786     1.035853e+00
 6221.5535     1.049779e+00
 6223.3284     1.030076e+00
 6225.1033     1.009145e+00
 6226.8782     1.057020e+00
 6228.6531     1.044664e+00
 6230.4281     1.002630e+00
 6232.2030     1.040163e+00
 6233.9779     1.078013e+00
 6235.7528     1.026261e+00
 6237.5277     1.044967e+00
 6239.3027     1.091682e+00
 6241.0776     1.050292e+00
 6242.8525     1.054915e+00
 6244.6274     1.059939e+00
 6246.4023     1.089666e+00
 6248.1772     1.088406e+00
 6249.9522     1.069039e+00
 6251.7271     1.040705e+00
 6253.5020     1.092141e+00
 6255.2769     1.034189e+00
 6257.0518     9.246645e-01
 6258.8267     9.895433e-01
 6260.6017     1.076345e+00
 6262.3766     1.035038e+00
 6264.1515     1.005797e+00
 6265.9264     1.036234e+00
 6267.7013     1.084014e+00
 6269.4763     1.082956e+00
 6271.2512     1.032525e+00
 6273.0261     1.071805e+00
 6274.8010     1.061135e+00
 6276.5759     9.827502e-01
 6278.3508     9.803510e-01
 6280.1258     9.759794e-01
 6281.9007     1.022366e+00
 6283.6756     9.714358e-01
 6285.4505     9.775878e-01
 6287.2254     9.499542e-01
 6289.0003     9.110413e-01
 6290.7753     9.831523e-01
 6292.5502     1.018475e+00
 6294.3251     9.786099e-01
 6296.1000     9.233969e-01
 6297.8749     1.049069e+00
 6299.6499     1.080937e+00
 6301.4248     1.277878e+00
 6303.1997     1.401450e+00
 6304.9746     1.354085e+00
 6306.7495     1.172390e+00
 6308.5244     1.164588e+00
 6310.2994     1.194983e+00
 6312.0743     9.967640e-01
 6313.8492     1.046519e+00
 6315.6241     1.026551e+00
 6317.3990     1.074371e+00
 6319.1739     1.047905e+00
 6320.9489     9.928759e-01
 6322.7238     1.003227e+00
 6324.4987     1.074083e+00
 6326.2736     1.034928e+00
 6328.0485     1.056985e+00
 6329.8235     1.012846e+00
 6331.5984     1.046333e+00
 6333.3733     1.084206e+00
 6335.1482     1.080161e+00
 6336.9231     1.070627e+00
 6338.6980     1.035950e+00
 6340.4730     1.063101e+00
 6342.2479     1.050495e+00
 6344.0228     1.072136e+00
 6345.7977     1.124234e+00
 6347.5726     1.100400e+00
 6349.3476     1.026669e+00
 6351.1225     1.065775e+00
 6352.8974     1.140061e+00
 6354.6723     1.092227e+00
 6356.4472     1.128335e+00
 6358.2221     1.001552e+00
 6359.9971     9.470795e-01
 6361.7720     1.148673e+00
 6363.5469     1.072490e+00
 6365.3218     1.087924e+00
 6367.0967     1.260275e+00
 6368.8716     1.131108e+00
 6370.6466     1.122596e+00
 6372.4215     1.161016e+00
 6374.1964     1.096416e+00
 6375.9713     1.069170e+00
 6377.7462     1.054303e+00
 6379.5212     1.071574e+00
 6381.2961     1.133286e+00
 6383.0710     1.121626e+00
 6384.8459     1.085774e+00
 6386.6208     1.079699e+00
 6388.3957     1.119348e+00
 6390.1707     1.082599e+00
 6391.9456     1.104517e+00
 6393.7205     1.155898e+00
 6395.4954     1.157371e+00
 6397.2703     1.069423e+00
 6399.0452     1.048686e+00
 6400.8202     1.111860e+00
 6402.5951     1.069086e+00
 6404.3700     1.082455e+00
 6406.1449     1.017636e+00
 6407.9198     1.047524e+00
 6409.6948     1.154993e+00
 6411.4697     1.088826e+00
 6413.2446     1.062950e+00
 6415.0195     1.082822e+00
 6416.7944     1.119655e+00
 6418.5693     1.092498e+00
 6420.3443     1.108125e+00
 6422.1192     1.065232e+00
 6423.8941     1.129620e+00
 6425.6690     1.100125e+00
 6427.4439     1.097641e+00
 6429.2188     1.120564e+00
 6430.9938     1.122034e+00
 6432.7687     1.049175e+00
 6434.5436     1.047932e+00
 6436.3185     1.068503e+00
 6438.0934     1.134148e+00
 6439.8684     1.117528e+00
 6441.6433     1.110261e+00
 6443.4182     1.079711e+00
 6445.1931     1.022791e+00
 6446.9680     1.019870e+00
 6448.7429     1.023610e+00
 6450.5179     1.107790e+00
 6452.2928     1.133478e+00
 6454.0677     1.089764e+00
 6455.8426     1.007270e+00
 6457.6175     9.762809e-01
 6459.3924     1.004027e+00
 6461.1674     1.039035e+00
 6462.9423     1.062262e+00
 6464.7172     1.088895e+00
 6466.4921     1.078539e+00
 6468.2670     1.050132e+00
 6470.0420     1.070478e+00
 6471.8169     1.099061e+00
 6473.5918     1.103087e+00
 6475.3667     1.089038e+00
 6477.1416     1.075798e+00
 6478.9165     1.064964e+00
 6480.6915     1.053273e+00
 6482.4664     1.086345e+00
 6484.2413     1.092130e+00
 6486.0162     1.024618e+00
 6487.7911     1.016976e+00
 6489.5661     1.040344e+00
 6491.3410     1.043115e+00
 6493.1159     1.019295e+00
 6494.8908     1.066139e+00
 6496.6657     9.993238e-01
 6498.4406     9.594014e-01
 6500.2156     9.856744e-01
 6501.9905     9.700727e-01
 6503.7654     1.017311e+00
 6505.5403     1.058887e+00
 6507.3152     1.049743e+00
 6509.0901     1.078670e+00
 6510.8651     1.070661e+00
 6512.6400     1.047719e+00
 6514.4149     1.087801e+00
 6516.1898     1.048815e+00
 6517.9647     1.043491e+00
 6519.7397     1.042520e+00
 6521.5146     1.049576e+00
 6523.2895     1.045982e+00
 6525.0644     1.059104e+00
 6526.8393     1.023719e+00
 6528.6142     1.070912e+00
 6530.3892     1.103966e+00
 6532.1641     1.084105e+00
 6533.9390     1.059145e+00
 6535.7139     1.054041e+00
 6537.4888     1.111207e+00
 6539.2637     1.073680e+00
 6541.0387     1.075773e+00
 6542.8136     1.135011e+00
 6544.5885     1.211225e+00
 6546.3634     1.467433e+00
 6548.1383     1.840824e+00
 6549.9133     2.245386e+00
 6551.6882     2.465343e+00
 6553.4631     2.286997e+00
 6555.2380     1.862675e+00
 6557.0129     1.601953e+00
 6558.7878     1.655327e+00
 6560.5628     2.674369e+00
 6562.3377     4.908418e+00
 6564.1126     7.373728e+00
 6565.8875     8.848330e+00
 6567.6624     8.699962e+00
 6569.4373     6.817884e+00
 6571.2123     4.348166e+00
 6572.9872     2.449249e+00
 6574.7621     1.432107e+00
 6576.5370     1.147373e+00
 6578.3119     1.128647e+00
 6580.0869     1.413940e+00
 6581.8618     2.241538e+00
 6583.6367     3.464220e+00
 6585.4116     4.641924e+00
 6587.1865     5.162055e+00
 6588.9614     4.798999e+00
 6590.7364     3.647004e+00
 6592.5113     2.493891e+00
 6594.2862     1.672374e+00
 6596.0611     1.201979e+00
 6597.8360     1.053304e+00
 6599.6109     1.075200e+00
 6601.3859     1.054428e+00
 6603.1608     1.022375e+00
 6604.9357     1.038430e+00
 6606.7106     1.063025e+00
 6608.4855     1.075396e+00
 6610.2605     1.053907e+00
 6612.0354     1.055733e+00
 6613.8103     1.083517e+00
 6615.5852     1.060348e+00
 6617.3601     1.032257e+00
 6619.1350     1.017308e+00
 6620.9100     1.070652e+00
 6622.6849     1.063126e+00
 6624.4598     1.080835e+00
 6626.2347     1.107873e+00
 6628.0096     1.035562e+00
 6629.7846     1.070233e+00
 6631.5595     1.148266e+00
 6633.3344     1.071120e+00
 6635.1093     1.019636e+00
 6636.8842     1.084292e+00
 6638.6591     1.056630e+00
 6640.4341     1.078046e+00
 6642.2090     1.080352e+00
 6643.9839     1.046976e+00
 6645.7588     1.082130e+00
 6647.5337     1.102466e+00
 6649.3086     1.076046e+00
 6651.0836     1.052432e+00
 6652.8585     1.040528e+00
 6654.6334     1.024793e+00
 6656.4083     1.024441e+00
 6658.1832     1.056561e+00
 6659.9582     1.041261e+00
 6661.7331     1.049185e+00
 6663.5080     1.027492e+00
 6665.2829     1.005184e+00
 6667.0578     1.022974e+00
 6668.8327     1.034788e+00
 6670.6077     1.058943e+00
 6672.3826     1.005794e+00
 6674.1575     1.053289e+00
 6675.9324     1.085800e+00
 6677.7073     1.138427e+00
 6679.4822     1.157700e+00
 6681.2572     1.064691e+00
 6683.0321     1.067943e+00
 6684.8070     1.120154e+00
 6686.5819     1.073964e+00
 6688.3568     1.055294e+00
 6690.1318     1.035476e+00
 6691.9067     1.030818e+00
 6693.6816     1.034889e+00
 6695.4565     1.100055e+00
 6697.2314     1.053526e+00
 6699.0063     1.010182e+00
 6700.7813     1.025013e+00
 6702.5562     1.033150e+00
 6704.3311     1.037636e+00
 6706.1060     1.032743e+00
 6707.8809     1.006045e+00
 6709.6558     1.031840e+00
 6711.4308     1.056564e+00
 6713.2057     1.134922e+00
 6714.9806     1.335337e+00
 6716.7555     1.656916e+00
 6718.5304     2.036289e+00
 6720.3054     2.229093e+00
 6722.0803     2.032550e+00
 6723.8552     1.730423e+00
 6725.6301     1.419561e+00
 6727.4050     1.311947e+00
 6729.1799     1.294240e+00
 6730.9549     1.595365e+00
 6732.7298     1.956877e+00
 6734.5047     2.067769e+00
 6736.2796     1.991738e+00
 6738.0545     1.777097e+00
 6739.8294     1.390121e+00
 6741.6044     1.151870e+00
 6743.3793     1.065403e+00
 6745.1542     1.049174e+00
 6746.9291     1.036450e+00
 6748.7040     1.048445e+00
 6750.4790     1.046085e+00
 6752.2539     1.038903e+00
 6754.0288     1.055286e+00
 6755.8037     1.093971e+00
 6757.5786     1.018483e+00
 6759.3535     9.642215e-01
 6761.1285     1.003474e+00
 6762.9034     1.063184e+00
 6764.6783     1.051992e+00
 6766.4532     1.008942e+00
 6768.2281     1.013993e+00
 6770.0031     9.831144e-01
 6771.7780     9.895754e-01
 6773.5529     1.000627e+00
 6775.3278     9.902068e-01
 6777.1027     9.268562e-01
 6778.8776     9.502533e-01
 6780.6526     1.020577e+00
 6782.4275     1.068184e+00
 6784.2024     1.036755e+00
 6785.9773     1.008752e+00
 6787.7522     1.007416e+00
 6789.5271     1.043488e+00
 6791.3021     1.014935e+00
 6793.0770     1.052631e+00
 6794.8519     1.032894e+00
 6796.6268     1.027054e+00
 6798.4017     9.430349e-01
 6800.1767     1.007330e+00
 6801.9516     1.041842e+00
 6803.7265     9.980865e-01
 6805.5014     1.003969e+00
 6807.2763     9.496247e-01
 6809.0512     9.847074e-01
 6810.8262     1.004006e+00
 6812.6011     9.940782e-01
 6814.3760     1.049198e+00
 6816.1509     9.762406e-01
 6817.9258     1.021915e+00
 6819.7007     1.068022e+00
 6821.4757     9.622216e-01
 6823.2506     9.739171e-01
 6825.0255     9.892858e-01
 6826.8004     1.022771e+00
 6828.5753     1.009985e+00
 6830.3503     1.030705e+00
 6832.1252     1.029489e+00
 6833.9001     1.025190e+00
 6835.6750     1.043899e+00
 6837.4499     1.055979e+00
 6839.2248     1.021007e+00
 6840.9998     9.838046e-01
 6842.7747     9.711890e-01
 6844.5496     9.923881e-01
 6846.3245     1.027674e+00
 6848.0994     1.036457e+00
 6849.8743     1.047855e+00
 6851.6493     9.785720e-01
 6853.4242     1.046597e+00
 6855.1991     1.007751e+00
 6856.9740     9.886524e-01
 6858.7489     9.780285e-01
 6860.5239     9.810191e-01
 6862.2988     9.853889e-01
 6864.0737     8.979158e-01
 6865.8486     8.305051e-01
 6867.6235     6.677143e-01
 6869.3984     6.624367e-01
 6871.1734     6.964507e-01
 6872.9483     7.529570e-01
 6874.7232     7.607501e-01
 6876.4981     7.531694e-01
 6878.2730     7.939019e-01
 6880.0479     7.843647e-01
 6881.8229     8.992328e-01
 6883.5978     8.910087e-01
 6885.3727     8.726410e-01
 6887.1476     8.340659e-01
 6888.9225     8.499760e-01
