vel[km/s] freq[MHz]   fv[mJy]      polyfit
  -691.6  1423.690096   -49.2300   -42.9000
  -683.4  1423.651034   -52.9700   -42.8376
  -675.2  1423.611971   -48.6400   -42.7755
  -667.0  1423.572909   -47.6200   -42.7135
  -658.8  1423.533846   -47.7400   -42.6518
  -650.5  1423.494784   -54.9600   -42.5903
  -642.3  1423.455721   -59.6300   -42.5290
  -634.1  1423.416659   -58.9200   -42.4681
  -625.9  1423.377596   -59.0500   -42.4074
  -617.7  1423.338534   -53.1600   -42.3470
  -609.5  1423.299471   -50.6000   -42.2869
  -601.3  1423.260409   -46.4700   -42.2272
  -593.1  1423.221346   -38.5700   -42.1678
  -584.9  1423.182284   -34.4900   -42.1088
  -576.7  1423.143221   -39.7700   -42.0502
  -568.4  1423.104159   -45.4300   -41.9920
  -560.2  1423.065096   -39.0400   -41.9342
  -552.0  1423.026034   -36.9000   -41.8768
  -543.8  1422.986971   -40.2200   -41.8199
  -535.6  1422.947909   -48.5400   -41.7634
  -527.4  1422.908846   -50.4100   -41.7074
  -519.2  1422.869784   -47.3200   -41.6518
  -510.9  1422.830721   -46.7400   -41.5968
  -502.7  1422.791659   -30.1100   -41.5423
  -494.5  1422.752596   -16.3000   -41.4883
  -486.3  1422.713534   -18.4200   -41.4348
  -478.1  1422.674471   -28.0200   -41.3819
  -469.8  1422.635409   -26.6900   -41.3295
  -461.6  1422.596346   -19.4000   -41.2778
  -453.4  1422.557284   -33.0900   -41.2266
  -445.2  1422.518221   -44.9200   -41.1760
  -437.0  1422.479159   -46.4700   -41.1260
  -428.7  1422.440096   -49.0900   -41.0766
  -420.5  1422.401034   -39.7800   -41.0279
  -412.3  1422.361971   -28.6000   -40.9799
  -404.1  1422.322909   -25.8700   -40.9324
  -395.9  1422.283846   -20.7700   -40.8857
  -387.6  1422.244784   -19.8000   -40.8396
  -379.4  1422.205721   -12.9500   -40.7943
  -371.2  1422.166659    -4.0620   -40.7496
  -363.0  1422.127596   -16.7000   -40.7056
  -354.7  1422.088534   -28.7800   -40.6624
  -346.5  1422.049471   -32.3000   -40.6199
  -338.3  1422.010409   -35.3000   -40.5781
  -330.1  1421.971346   -34.8300   -40.5371
  -321.8  1421.932284   -34.1900   -40.4968
  -313.6  1421.893221   -36.0700   -40.4573
