     [A]        [1e-15 erg/cm^2/s/A]
     4503.49    2.16036
     4504.49    2.24247
     4505.49    2.24051
     4506.49    2.19689
     4507.49    2.46800
     4508.49    2.37436
     4509.49    2.17181
     4510.48    2.18309
     4511.48    2.28798
     4512.48    2.45813
     4513.48    2.29311
     4514.48    2.13671
     4515.48    2.18409
     4516.48    2.09207
     4517.48    1.97183
     4518.48    2.12301
     4519.48    2.28620
     4520.47    2.18469
     4521.47    2.13456
     4522.47    2.21343
     4523.47    2.20529
     4524.47    2.24802
     4525.47    2.30015
     4526.47    2.31794
     4527.47    2.34628
     4528.47    2.25456
     4529.47    2.20108
     4530.46    1.89979
     4531.46    2.04010
     4532.46    2.25139
     4533.46    2.23445
     4534.46    2.09458
     4535.46    2.03933
     4536.46    2.11653
     4537.46    2.15945
     4538.46    2.12535
     4539.46    2.23397
     4540.45    2.28310
     4541.45    2.04613
     4542.45    2.21639
     4543.45    2.31683
     4544.45    2.23649
     4545.45    2.13702
     4546.45    2.17329
     4547.45    2.18980
     4548.45    2.11912
     4549.45    2.16912
     4550.44    2.25659
     4551.44    2.16890
     4552.44    2.10036
     4553.44    2.08264
     4554.44    2.26308
     4555.44    2.33715
     4556.44    2.14025
     4557.44    2.12318
     4558.44    2.31132
     4559.44    2.30859
     4560.43    2.23711
     4561.43    2.32180
     4562.43    2.27348
     4563.43    2.33672
     4564.43    2.21228
     4565.43    2.27724
     4566.43    2.26988
     4567.43    2.16665
     4568.43    2.14997
     4569.43    2.20155
     4570.42    2.19607
     4571.42    2.19125
     4572.42    2.25143
     4573.42    2.31494
     4574.42    2.19772
     4575.42    2.16406
     4576.42    2.20751
     4577.42    2.19635
     4578.42    2.10074
     4579.42    2.18748
     4580.41    2.31063
     4581.41    2.17331
     4582.41    2.14357
     4583.41    2.15696
     4584.41    2.04461
     4585.41    2.12092
     4586.41    2.19632
     4587.41    2.02475
     4588.41    2.11719
     4589.41    2.38034
     4590.40    2.30810
     4591.40    2.08442
     4592.40    2.19249
     4593.40    2.30908
     4594.40    2.28540
     4595.40    2.26620
     4596.40    2.27837
     4597.40    2.23941
     4598.40    2.17552
     4599.40    2.30890
     4600.39    2.27307
     4601.39    2.16237
     4602.39    2.19866
     4603.39    2.15313
     4604.39    2.32953
     4605.39    2.31281
     4606.39    2.23426
     4607.39    2.26145
     4608.39    2.22582
     4609.39    2.28916
     4610.38    2.23214
     4611.38    2.23970
     4612.38    2.33889
     4613.38    2.31278
     4614.38    2.31747
     4615.38    2.38569
     4616.38    2.46877
     4617.38    2.26565
     4618.38    2.21390
     4619.38    2.30516
     4620.37    2.27747
     4621.37    2.26003
     4622.37    2.32481
     4623.37    2.36859
     4624.37    2.30393
     4625.37    2.17385
     4626.37    2.23201
     4627.37    2.18288
     4628.37    2.11090
     4629.37    2.24356
     4630.36    2.15805
     4631.36    2.08887
     4632.36    2.25562
     4633.36    2.40618
     4634.36    2.31653
     4635.36    2.22946
     4636.36    2.34505
     4637.36    2.26774
     4638.36    2.19768
     4639.36    2.21007
     4640.35    2.35716
     4641.35    2.41415
     4642.35    2.32528
     4643.35    2.25673
     4644.35    2.35697
     4645.35    2.45748
     4646.35    2.38011
     4647.35    2.35748
     4648.35    2.30601
     4649.35    2.41642
     4650.34    2.44818
     4651.34    2.29873
     4652.34    2.27785
     4653.34    2.44228
     4654.34    2.44854
     4655.34    2.36143
     4656.34    2.46357
     4657.34    2.55043
     4658.34    2.47830
     4659.34    2.66186
     4660.33    2.53020
     4661.33    2.31831
     4662.33    2.19366
     4663.33    2.38155
     4664.33    2.44796
     4665.33    2.29982
     4666.33    2.17798
     4667.33    2.18345
     4668.33    2.33566
     4669.33    2.51719
     4670.32    2.37001
     4671.32    2.29103
     4672.32    2.20490
     4673.32    2.33289
     4674.32    2.35167
     4675.32    2.26826
     4676.32    2.24949
     4677.32    2.27608
     4678.32    2.25623
     4679.32    2.28803
     4680.31    2.54371
     4681.31    2.45091
     4682.31    2.41468
     4683.31    2.39978
     4684.31    2.49213
     4685.31    2.32471
     4686.31    2.24296
     4687.31    2.48954
     4688.31    2.64525
     4689.31    2.48444
     4690.30    2.41600
     4691.30    2.45136
     4692.30    2.36882
     4693.30    2.23534
     4694.30    2.40963
     4695.30    2.55167
     4696.30    2.64586
     4697.30    2.48520
     4698.30    2.39767
