"z" "a" "CoDist" "LumDist" "AngDist" "CoDistTran" "DistMod" "AngScale" "CoVol" "HubTime" "UniAgeNow" "UniAgeAtz" "TravelTime" "RelError" "z" "a" "H" "CoVel" "OmegaM" "OmegaL" "OmegaR" "OmegaK" "Decelq" "Factor" "Rate" "Sigma8" "RhoCrit" "RhoMean" "opz" "log1pz" "ln1pz" "loga" "adot" "RhoCritSI" "RhoMeanSI"
6 0.142857142857143 8438.74500459011 59071.2150321308 1205.53500065573 8438.74500459011 48.8568795196286 5.84459861374291 2517.22595469872 14.4220346785661 13.8021158230766 0.934415139337938 12.8677006837386 1e-08 6 0.142857142857143 699.149181677273 1.90847666791941 0.993492326211255 0.0065076737887451 0 0 0.490238489316882 0.998812691404856 0.996444786638197 0.145647573193668 3.95407697305904 3.92834512998278 7 0.845098040014257 1.94591014905531 -0.845098040014257 99.8784545253247 9.18214658802138e-25 9.1223921733461e-25
5.8703649017626 0.145552676502444 8382.37903877293 57590.0027412561 1220.07770455139 8382.37903877293 48.8017354960106 5.91510363183231 2467.1212533337 14.4220346785661 13.8021158230766 0.960926137305563 12.841189685771 1e-08 5.8703649017626 0.145552676502444 679.945329366016 1.8957291408205 0.993119539714865 0.00688046028513485 0 0 0.489679309572298 0.998744428465363 0.996240790229559 0.148385616758618 3.95556121180603 3.92834512998278 6.8703649017626 0.83697980410662 1.92721722007298 -0.83697980410662 98.9678625645597 8.68465367126393e-25 8.62489925658864e-25
5.74313055476735 0.148299071459177 8325.4947594874 56139.898096255 1234.66314227022 8325.4947594874 48.746358099893 5.98581582934293 2417.23439173768 14.4220346785661 13.8021158230766 0.988185745673519 12.813930077403 1e-08 5.74313055476735 0.148299071459177 661.276064932419 1.8828643937842 0.992725554826162 0.007274445173838 0 0 0.489088332239243 0.998672254299696 0.996025153571715 0.151174540313306 3.95713106294588 3.92834512998279 6.74313055476735 0.828861568198984 1.90852429109065 -0.828861568198984 98.0666264076558 8.21429170848443e-25 8.15453729380915e-25
5.61825249878237 0.151097287415973 8268.08803494644 54720.2942974369 1249.28567419687 8268.08803494644 48.6907421222344 6.05670786464792 2367.5757648663 14.4220346785661 13.8021158230766 1.01621479374159 12.785901029335 1e-08 5.61825249878237 0.151097287415973 643.126707291539 1.8698814923802 0.992309184513303 0.00769081548669731 0 0 0.488463776769954 0.998595946398573 0.995797220112862 0.154015243626963 3.95879146468801 3.92834512998278 6.61825249878237 0.820743332291347 1.88983136210831 -0.820743332291347 97.1747009365179 7.76958110341334e-25 7.70982668873806e-25
5.49568709694815 0.153948302169578 8210.15474338784 53330.596230572 1263.93938329406 8210.15474338784 48.6348821953879 6.12775105114111 2318.15588781977 14.4220346785661 13.8021158230766 1.04503466340248 12.7570811596741 1e-08 5.49568709694815 0.153948302169578 625.482983948744 1.85677950444536 0.991869177440482 0.00813082255951794 0 0 0.487803766160723 0.998515269781519 0.995556297169877 0.156908638843459 3.96054764008281 3.92834512998278 6.49568709694815 0.81262509638371 1.87113843312598 -0.81262509638371 96.2920434148703 7.34912295009237e-25 7.28936853541709e-25
5.37539152052925 0.156853111966524 8151.69077635561 51970.220253554 1278.61806606018 8151.69077635561 48.578772786991 6.19891531339794 2268.98539312235 14.4220346785661 13.8021158230766 1.07466730144603 12.7274485216305 1e-08 5.37539152052925 0.156853111966524 608.33101976142 1.84355750082582 0.991404214739913 0.00859578526008733 0 0 0.487106322109869 0.998429976319954 0.995301654046012 0.159855650368003 3.96240511345148 3.92834512998278 6.37539152052925 0.804506860476073 1.85244550414365 -0.804506860476073 95.4186135553476 6.95159463239953e-25 6.89184021772424e-25
5.25732373394844 0.159812731851256 8092.69204221316 50638.5939872761 1293.315223297 8092.69204221316 48.5224081935729 6.27016914241621 2220.07502774327 14.4220346785661 13.8021158230766 1.1051352319254 12.6969805911512 1e-08 5.25732373394844 0.159812731851256 591.657326011726 1.83021455617156 0.990912906652328 0.00908709334767243 0 0 0.486369359978491 0.998339804026119 0.995032520063155 0.162857214726225 3.96436972776366 3.92834512998278 6.25732373394844 0.796388624568437 1.83375257516131 -0.796388624568437 94.554373589743 6.57574566355561e-25 6.51599124888033e-25
5.14144248009792 0.162828196020824 8033.15446990239 49335.1561106471 1308.02405069082 8033.15446990239 48.4657825338668 6.34147954995225 2171.43564984532 14.4220346785661 13.8021158230766 1.13646156856328 12.6656542545133 1e-08 5.14144248009792 0.162828196020824 575.448789781665 1.81674974978651 0.990393789034492 0.00960621096550821 0 0 0.485590683551738 0.998244476306471 0.994748082506285 0.165914280393345 3.96644766301738 3.92834512998278 6.14144248009792 0.7882703886608 1.81505964617898 -0.7882703886608 93.6992883425148 6.22039375252475e-25 6.16063933784947e-25
5.02770726592266 0.165900558186269 7973.07401296331 48059.3561596781 1322.73742921105 7973.07401296331 48.4088897418097 6.41281202197173 2123.07822524618 14.4220346785661 13.8021158230766 1.16867002717375 12.6334457959028 1e-08 5.02770726592266 0.165900558186269 559.692663622018 1.8031621665376 0.989845319732767 0.0101546802672332 0 0 0.48476797959915 0.998143701178104 0.99444748447796 0.169027807590965 3.96864545567921 3.92834512998278 6.02770726592266 0.780152152753163 1.79636671719665 -0.780152152753163 92.8533253076526 5.88442108493517e-25 5.82466667025989e-25
4.91607834827064 0.169030891940827 7912.44665382952 46810.6543305673 1337.44791533101 7912.44665382952 48.3517235592122 6.48413047123904 2075.01382357753 14.4220346785661 13.8021158230766 1.20178493807297 12.6003308850036 1e-08 4.91607834827064 0.169030891940827 544.376555506879 1.78945089782626 0.989265874822426 0.0107341251775736 0 0 0.48389881223364 0.998037170446742 0.994129822660818 0.172198768048872 3.97097001924576 3.92834512998278 5.91607834827064 0.772033916845527 1.77767378821431 -0.772033916845527 92.0164547290028 5.56677080682127e-25 5.50701639214599e-25
